year,name,position,cap_hit
2021,ilyamikheyev,"LW, RW",1645000
2021,scottharrington,LD,1633333
2021,roberthagg,LD,1600000
2021,andersbjork,"LW, RW",1600000
2021,adampelech,LD,1600000
2021,michaelraffl,"LW, RW",1600000
2021,brendanlemieux,"LW, RW",1550000
2021,lawsoncrouse,LW,1533333
2021,austinwatson,"RW, LW",1500000
2021,henriklundqvist,G,1500000
2021,mikesmith,G,1500000
2021,marcussorensen,"LW, RW",1500000
2021,laurentbrossoit,G,1500000
2021,connorcarrick,RD,1500000
2021,andrejsekera,LD/RD,1500000
2021,juusesaros,G,1500000
2021,zacharysanford,LW,1500000
2021,mattmartin,"LW, RW",1500000
2021,brianelliott,G,1500000
2021,josharchibald,"RW, LW",1500000
2021,samuelblais,RW,1500000
2021,mikereilly,LD,1500000
2021,jasondickinson,"C, LW",1500000
2021,waynesimmonds,"RW, LW",1500000
2021,derekgrant,"C, RW",1500000
2021,mikkokoivu,C,1500000
2021,garnethathaway,"RW, LW",1500000
2021,nickcousins,"LW, C",1500000
2021,nickritchie,LW,1498925
2021,joelerikssonek,C,1487500
2021,ivanbarbashev,"C, LW",1475000
2021,troyterry,"RW, C",1450000
2021,scottmayfield,RD,1450000
2021,jordanoesterle,LD/RD,1400000
2021,tagethompson,"C, RW",1400000
2021,johanlarsson,"C, LW",1400000
2021,williamcarrier,LW,1400000
2021,jordanweal,"C, RW, LW",1400000
2021,robertbortuzzo,RD,1375000
2021,chriswagner,"RW, C",1350000
2021,nicholaspaul,"C, LW",1350000
2021,curtismcelhinney,G,1300000
2021,haydnfleury,LD/RD,1300000
2021,janrutta,RD,1300000
2021,seankuraly,"C, LW",1275000
2021,nathanbeaulieu,LD/RD,1250000
2021,travishamonic,RD,1250000
2021,tomasnosek,"C, LW",1250000
2021,codyceci,RD,1250000
2021,caseydesmith,G,1250000
2021,pierreengvall,"LW, C",1250000
2021,kevanmiller,RD,1250000
2021,tylermotte,"LW, RW",1225000
2021,coltonsceviour,RW,1200000
2021,jacoblarsson,LD,1200000
2021,joshuabrown,RD,1200000
2021,andreasathanasiou,"LW, RW",1200000
2021,jujharkhaira,"C, LW",1200000
2021,mikhailgrigorenko,"C, LW",1200000
2021,jessepuljujarvi,RW,1175000
2021,jackjohnson,LD,1150000
2021,juusoriikola,LD,1150000
2021,dmitrykulikov,LD,1150000
2021,austinwagner,"RW, LW",1133333
2021,carterrowney,"C, RW",1133333
2021,pheonixcopley,G,1100000
2021,nicolasaubekubel,RW,1075000
2021,thatcherdemko,G,1050000
2021,alexgalchenyuk,"LW, C, RW",1050000
2021,vinniehinostroza,"RW, C",1000000
2021,bobbyryan,"RW, LW",1000000
2021,rossjohnston,LW,1000000
2021,nicolasdeslauriers,"RW, LW",1000000
2021,christianfischer,"RW, LW",1000000
2021,collindelia,G,1000000
2021,kyleclifford,LW,1000000
2021,bradrichardson,C,1000000
2021,zachbogosian,RD,1000000
2021,tylerennis,"C, LW, RW",1000000
2021,ryanmiller,G,1000000
2021,derickbrassard,"LW, C",1000000
2021,zachastonreese,"LW, RW",1000000
2021,derekforbort,LD,1000000
2021,nikitagusev,"RW, LW",1000000
2021,davidkampf,"C, RW",1000000
2021,connorclifton,LD/RD,1000000
2021,ilyalyubushkin,RD,1000000
2021,christiandjoos,LD,1000000
2021,ryancarpenter,"RW, C",1000000
2021,kodiecurran,LD,1000000
2021,carlsoderberg,"C, LW",1000000
2021,carterverhaeghe,"LW, C",1000000
2021,matthewbenning,RD,1000000
2021,adamerne,"LW, RW",997500
2021,ericrobinson,LW,975000
2021,dominikkahun,"LW, RW, C",975000
2021,lucaswallmark,C,950000
2021,adamgaudette,C,950000
2021,benhutton,LD,950000
2021,morganbarron,C,925000
2021,morganbarron,C,925000
2021,brandonbiro,LW,925000
2021,jacobbernarddocker,RD,925000
2021,tysonfoerster,C,925000
2021,marcorossi,C,925000
2021,coltonpoint,G,925000
2021,jackhughes,C,925000
2021,alexeimelnichuk,G,925000
2021,connorzary,C,925000
2021,coleperfetti,C,925000
2021,ianmitchell,RD,925000
2021,yegorchinakhov,RW,925000
2021,johnmarino,RD,925000
2021,bobbynardella,LD,925000
2021,cameroncrotty,RD,925000
2021,bradytkachuk,"LW, C",925000
2021,eliaspettersson,C,925000
2021,tannerlaczynski,C,925000
2021,jacobchristiansen,LD,925000
2021,justinrichards,"C, RW",925000
2021,jakeoettinger,G,925000
2021,scottperunovich,LD,925000
2021,timstutzle,"LW, C",925000
2021,barclaygoodrow,LW,925000
2021,shanepinto,C,925000
2021,jesperikotkaniemi,"C, LW",925000
2021,henrijokiharju,RD,925000
2021,ryanlindgren,LD,925000
2021,chasepriskie,RD,925000
2021,lukascraggs,LW,925000
2021,dantefabbro,RD,925000
2021,emilbemstrom,"C, RW",925000
2021,michaelanderson,LD,925000
2021,cameronmorrison,C,925000
2021,jacobperreault,C,925000
2021,jackrathbone,LD,925000
2021,adamfox,RD,925000
2021,jeremyswayman,G,925000
2021,joelfarabee,"LW, RW",925000
2021,trevorzegras,C,925000
