team,year,R1,R2,R3,R4,WC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,salary cap,Q1,Q2,Q3,Q4
LAK,2012,1,1,1,1,1,0.1088646967340591,0.1057542768273717,0.08942457231726283,0.08200197511664074,0.06776272161741835,0.0660964230171073,0.05948678071539658,0.05598755832037325,0.05443234836702955,0.05443234836702955,0.05287713841368585,0.04937791601866252,0.045878693623639194,0.027993779160186624,0.019440124416796267,0.01827371695178849,0.012830482115085537,0.011858475894245723,0.011469673405909799,0.011275272161741835,64300000,0.45380824261275277,0.2904354587869362,0.19556765163297046,0.06570762052877138
LAK,2013,1,1,1,0,0,0.1088646967340591,0.1057542768273717,0.08942457231726283,0.08200197511664074,0.06251944012441679,0.05948678071539658,0.05443234836702955,0.05287713841368585,0.05054432348367029,0.05054432348367029,0.04937791601866252,0.045878693623639194,0.027993779160186624,0.019440124416796267,0.01827371695178849,0.012830482115085537,0.011858475894245723,0.01166407465007776,0.011469673405909799,0.011443748055987558,64300000,0.4485649611197512,0.2678849144634526,0.16096423017107309,0.05926645412130638
LAK,2014,1,1,1,1,1,0.1166407465007776,0.1088646967340591,0.1057542768273717,0.09020217729393468,0.08942457231726283,0.08200197511664074,0.06480040435458786,0.05948678071539658,0.05443234836702955,0.05054432348367029,0.04937791601866252,0.04665629860031104,0.045878693623639194,0.020606531881804044,0.017107309486780714,0.01671850699844479,0.015552099533437015,0.013608087091757388,0.012830482115085537,0.012830482115085537,64300000,0.5108864696734059,0.311265832037325,0.17962674961119754,0.07153965785381027
LAK,2015,0,0,0,0,0,0.10144927536231885,0.09855072463768116,0.08514492753623189,0.08405797101449275,0.08333333333333333,0.07641633333333334,0.07065217391304347,0.06038646376811594,0.05543478260869565,0.04710144927536232,0.043478260869565216,0.03985507246376811,0.036231884057971016,0.02826086956521739,0.02210144927536232,0.015942028985507246,0.015579710144927537,0.014492753623188406,0.013405797101449275,0.012318840579710146,69000000,0.45253623188405795,0.3099912028985507,0.16992753623188406,0.07173913043478261
LAK,2016,1,0,0,0,0,0.09803921568627451,0.09523809523809523,0.08403361344537816,0.0822829131652661,0.08123249299719888,0.07384771708683473,0.06827731092436974,0.06302521008403361,0.06162464985994398,0.056022408963585436,0.056022408963585436,0.05042016806722689,0.04726890756302521,0.04551820728291316,0.0350140056022409,0.0273109243697479,0.022408963585434174,0.021358543417366947,0.02100840336134454,0.0196078431372549,71400000,0.4408263305322129,0.3227972969187675,0.2342436974789916,0.11169467787114847
LAK,2017,0,0,0,0,0,0.136986301369863,0.0958904109589041,0.08150684931506849,0.08047945205479452,0.07945205479452055,0.07305935616438357,0.07222913698630137,0.06678082191780822,0.0547945205479452,0.0547945205479452,0.04452054794520548,0.03424657534246575,0.0273972602739726,0.02671232876712329,0.023287671232876714,0.021917808219178082,0.021917808219178082,0.019178082191780823,0.019178082191780823,0.013013698630136987,73000000,0.4743150684931507,0.32165835616438354,0.15616438356164386,0.0952054794520548
LAK,2018,1,0,0,0,0,0.13333333333333333,0.09333333333333334,0.09333333333333334,0.07833333333333334,0.07733333333333334,0.07030302666666667,0.065,0.06133333333333333,0.05333333333333334,0.05333333333333334,0.05,0.029666666666666668,0.02666666666666667,0.022,0.021333333333333333,0.016,0.014666666666666666,0.013333333333333334,0.012333333333333333,0.012333333333333333,75000000,0.4756666666666667,0.30330302666666664,0.14966666666666667,0.06866666666666667
LAK,2019,0,0,0,0,0,0.12578616352201258,0.0880503144654088,0.0880503144654088,0.07861635220125786,0.07389937106918239,0.0729559748427673,0.06632361006289308,0.05786163522012579,0.050314465408805034,0.050314465408805034,0.050314465408805034,0.04716981132075472,0.031761006289308176,0.025157232704402517,0.020754716981132074,0.02012578616352201,0.01289308176100629,0.011635220125786163,0.011635220125786163,0.011635220125786163,79500000,0.4544025157232704,0.2977701509433962,0.1751572327044025,0.06792452830188679
LAK,2020,0,0,0,0,0,0.13496932515337423,0.12269938650306748,0.07668711656441718,0.07208588957055215,0.07116564417177915,0.06469603680981595,0.05644171779141104,0.049079754601226995,0.03098159509202454,0.029754601226993867,0.024539877300613498,0.024539877300613498,0.023312883435582823,0.0196319018404908,0.018404907975460124,0.011349693251533743,0.011349693251533743,0.011349693251533743,0.011349693251533743,0.011349693251533743,81500000,0.4776073619631902,0.23095370552147237,0.11042944785276074,0.05674846625766872
LAK,2021,0,0,0,0,0,0.13496932515337423,0.12269938650306748,0.07208588957055215,0.07116564417177915,0.06469603680981595,0.050102245398773004,0.03251533742331288,0.029754601226993867,0.024539877300613498,0.01901840490797546,0.014723926380368098,0.013905926380368099,0.011349693251533743,0.011349693251533743,0.011349693251533743,0.011349693251533743,0.011042944785276074,0.010971374233128835,0.010971374233128835,0.010971361963190185,81500000,0.46561628220858897,0.1559304662576687,0.06267893251533743,0.055306748466257674
